WL_SR	B1	B2	B3	B4	B5	B7
400	0.0	0.0	0.0	0.0	0.0	0.0
401	0.0	0.0	0.0	0.0	0.0	0.0
402	0.0	0.0	0.0	0.0	0.0	0.0
403	0.0	0.0	0.0	0.0	0.0	0.0
404	0.0	0.0	0.0	0.0	0.0	0.0
405	0.0	0.0	0.0	0.0	0.0	0.0
406	0.0	0.0	0.0	0.0	0.0	0.0
407	0.0	0.0	0.0	0.0	0.0	0.0
408	0.0	0.0	0.0	0.0	0.0	0.0
409	0.0	0.0	0.0	0.0	0.0	0.0
410	0.0	0.0	0.0	0.0	0.0	0.0
411	0.0	0.0	0.0	0.0	0.0	0.0
412	0.0	0.0	0.0	0.0	0.0	0.0
413	0.0	0.0	0.0	0.0	0.0	0.0
414	0.0	0.0	0.0	0.0	0.0	0.0
415	0.0	0.0	0.0	0.0	0.0	0.0
416	0.0	0.0	0.0	0.0	0.0	0.0
417	0.0	0.0	0.0	0.0	0.0	0.0
418	0.0	0.0	0.0	0.0	0.0	0.0
419	0.0	0.0	0.0	0.0	0.0	0.0
420	0.0007	0.0	0.0	0.0	0.0	0.0
421	0.0008	0.0	0.0	0.0	0.0	0.0
422	0.0008	0.0	0.0	0.0	0.0	0.0
423	0.0009	0.0	0.0	0.0	0.0	0.0
424	0.0009	0.0	0.0	0.0	0.0	0.0
425	0.001	0.0	0.0	0.0	0.0	0.0
426	0.0013	0.0	0.0	0.0	0.0	0.0
427	0.0016	0.0	0.0	0.0	0.0	0.0
428	0.002	0.0	0.0	0.0	0.0	0.0
429	0.0023	0.0	0.0	0.0	0.0	0.0
430	0.0027	0.0	0.0	0.0	0.0	0.0
431	0.0042	0.0	0.0	0.0	0.0	0.0
432	0.006	0.0	0.0	0.0	0.0	0.0
433	0.0086	0.0	0.0	0.0	0.0	0.0
434	0.0113	0.0	0.0	0.0	0.0	0.0
435	0.0141	0.0	0.0	0.0	0.0	0.0
436	0.017	0.0	0.0	0.0	0.0	0.0
437	0.0216	0.0	0.0	0.0	0.0	0.0
438	0.0268	0.0	0.0	0.0	0.0	0.0
439	0.0321	0.0	0.0	0.0	0.0	0.0
440	0.037	0.0	0.0	0.0	0.0	0.0
441	0.042	0.0	0.0	0.0	0.0	0.0
442	0.0471	0.0	0.0	0.0	0.0	0.0
443	0.0524	0.0	0.0	0.0	0.0	0.0
444	0.0577	0.0	0.0	0.0	0.0	0.0
445	0.0633	0.0	0.0	0.0	0.0	0.0
446	0.0746	0.0	0.0	0.0	0.0	0.0
447	0.1097	0.0	0.0	0.0	0.0	0.0
448	0.1564	0.0	0.0	0.0	0.0	0.0
449	0.2483	0.0	0.0	0.0	0.0	0.0
450	0.3391	0.0	0.0	0.0	0.0	0.0
451	0.4058	0.0	0.0	0.0	0.0	0.0
452	0.4741	0.0	0.0	0.0	0.0	0.0
453	0.5366	0.0	0.0	0.0	0.0	0.0
454	0.5856	0.0	0.0	0.0	0.0	0.0
455	0.6667	0.0	0.0	0.0	0.0	0.0
456	0.688	0.0	0.0	0.0	0.0	0.0
457	0.6993	0.0	0.0	0.0	0.0	0.0
458	0.7095	0.0	0.0	0.0	0.0	0.0
459	0.7165	0.0	0.0	0.0	0.0	0.0
460	0.72	0.0	0.0	0.0	0.0	0.0
461	0.7326	0.0	0.0	0.0	0.0	0.0
462	0.7475	0.0	0.0	0.0	0.0	0.0
463	0.7583	0.0	0.0	0.0	0.0	0.0
464	0.7714	0.0	0.0	0.0	0.0	0.0
465	0.7847	0.0	0.0	0.0	0.0	0.0
466	0.7924	0.0	0.0	0.0	0.0	0.0
467	0.8002	0.0	0.0	0.0	0.0	0.0
